,Topic #00,Topic #01,Topic #02,Topic #03,Topic #04,Topic #05,Topic #06,Topic #07,Topic #08,Topic #09
0,say,look,know,hermione,think,tell,come,ask,boy,right
1,voice,face,thing,turn,mean,yeh,people,question,mother,harry
2,good,pale,good,whisper,want,want,potter,thing,old,mrs
3,suddenly,eye,really,snap,let,wood,open,poor,poor,mumble
4,finally,quickly,want,leave,really,hear,voice,dare,young,stand
5,quietly,shoulder,magic,want,funny,way,time,great,leave,woman
6,want,place,sir,arm,people,truth,try,stop,pale,reflection
7,hear,stand,yeh,let,thing,thing,hurry,need,faced,hear
8,ill,watch,wizard,hand,bit,trouble,smell,common,round,course
9,time,speak,parent,ignore,hear,brother,halt,join,fer,follow
